batch_id,genome_index
BATCH_0000,0
BATCH_0001,1
BATCH_0002,2
BATCH_0003,3
BATCH_0004,4
BATCH_0005,5
BATCH_0006,6
BATCH_0007,7
BATCH_0008,8
BATCH_0009,9
BATCH_0010,10
BATCH_0011,11
BATCH_0012,12
BATCH_0013,13
BATCH_0014,14
BATCH_0015,15
BATCH_0016,16
BATCH_0017,17
BATCH_0018,18
BATCH_0019,19
BATCH_0020,20
BATCH_0021,21
BATCH_0022,22
BATCH_0023,23
BATCH_0024,24
BATCH_0025,25
BATCH_0026,26
BATCH_0027,27
BATCH_0028,28
BATCH_0029,29
BATCH_0030,30
BATCH_0031,31
BATCH_0032,32
BATCH_0033,33
BATCH_0034,34
BATCH_0035,35
BATCH_0036,36
BATCH_0037,37
BATCH_0038,38
BATCH_0039,39
BATCH_0040,40
BATCH_0041,41
BATCH_0042,42
BATCH_0043,43
BATCH_0044,44
BATCH_0045,45
BATCH_0046,46
BATCH_0047,47
BATCH_0048,48
BATCH_0049,49
BATCH_0050,50
BATCH_0051,51
BATCH_0052,52
BATCH_0053,53
BATCH_0054,54
BATCH_0055,55
BATCH_0056,56
BATCH_0057,57
BATCH_0058,58
BATCH_0059,59
BATCH_0060,60
BATCH_0061,61
BATCH_0062,62
BATCH_0063,63
BATCH_0064,64
BATCH_0065,65
BATCH_0066,66
BATCH_0067,67
BATCH_0068,68
BATCH_0069,69
BATCH_0070,70
BATCH_0071,71
BATCH_0072,72
BATCH_0073,73
BATCH_0074,74
BATCH_0075,75
BATCH_0076,76
BATCH_0077,77
BATCH_0078,78
BATCH_0079,79
BATCH_0080,80
BATCH_0081,81
BATCH_0082,82
BATCH_0083,83
BATCH_0084,84
BATCH_0085,85
BATCH_0086,86
BATCH_0087,87
BATCH_0088,88
BATCH_0089,89
BATCH_0090,90
BATCH_0091,91
BATCH_0092,92
BATCH_0093,93
BATCH_0094,94
BATCH_0095,95
BATCH_0096,96
BATCH_0097,97
BATCH_0098,98
BATCH_0099,99
BATCH_0100,100
BATCH_0101,101
BATCH_0102,102
BATCH_0103,103
BATCH_0104,104
BATCH_0105,105
BATCH_0106,106
BATCH_0107,107
BATCH_0108,108
BATCH_0109,109
BATCH_0110,110
BATCH_0111,111
BATCH_0112,112
BATCH_0113,113
BATCH_0114,114
BATCH_0115,115
BATCH_0116,116
BATCH_0117,117
BATCH_0118,118
BATCH_0119,119
BATCH_0120,120
BATCH_0121,121
BATCH_0122,122
BATCH_0123,123
BATCH_0124,124
BATCH_0125,125
BATCH_0126,126
BATCH_0127,127
BATCH_0128,128
BATCH_0129,129
BATCH_0130,130
BATCH_0131,131
BATCH_0132,132
BATCH_0133,133
BATCH_0134,134
BATCH_0135,135
BATCH_0136,136
BATCH_0137,137
BATCH_0138,138
BATCH_0139,139
BATCH_0140,140
